"time","summary","icon","precipProbability","precipType","temperatureMin","temperatureMax","humidity","windSpeed","cloudCover"
2017-05-10,"Partly cloudy overnight.","partly-cloudy-night",0,NA,51.67,70.01,0.7,2.44,0.15
2017-05-11,"Rain until afternoon, starting again in the evening.","rain",1,"rain",48.58,58.78,0.86,5.47,0.43
2017-05-12,"Light rain starting in the evening.","rain",0.73,"rain",46.4,54.23,0.83,4.71,0.31
2017-05-13,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0.73,"rain",46.62,56.72,0.81,4.15,0.39
2017-05-14,"Light rain in the morning and afternoon.","rain",0.65,"rain",48.56,57.5,0.81,7.07,0.32
2017-05-15,"Light rain starting in the afternoon.","rain",1,"rain",47.67,51.93,0.87,6.28,0.26
2017-05-16,"Light rain until afternoon.","rain",0.93,"rain",43.86,51.72,0.85,2.86,0.5
2017-05-17,"Mostly cloudy overnight.","partly-cloudy-night",0,NA,46.9,57.36,0.82,2.76,NA
2017-05-18,"Partly cloudy until evening.","partly-cloudy-day",0,NA,49.4,61.19,0.73,1.59,0.3
2017-05-19,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,50.97,67.8,0.72,4.12,0.17
2017-05-20,"Partly cloudy in the morning.","partly-cloudy-day",0,NA,53.19,68.85,0.69,5.37,0.19
2017-05-21,"Clear throughout the day.","clear-day",0,NA,52.72,72.01,0.7,5.57,0.06
2017-05-22,"Clear throughout the day.","clear-day",0,NA,55.01,76.92,0.63,3.73,0.05
2017-05-23,"Clear throughout the day.","clear-day",0,NA,54.86,76.06,0.67,2.31,0.06
2017-05-24,"Partly cloudy in the evening.","partly-cloudy-day",0,NA,49.42,61.53,0.62,0.73,0.25
2017-05-25,"Clear throughout the day.","clear-day",0,NA,50.06,65.3,0.71,3.7,0.11
2017-05-26,"Clear throughout the day.","clear-day",0,NA,51.81,75.77,0.63,3,0.08
2017-05-27,"Clear throughout the day.","clear-day",0,NA,53.98,79.3,0.56,3.33,0.04
2017-05-28,"Clear throughout the day.","clear-day",0,NA,54.54,79.38,0.6,3.68,0.03
2017-05-29,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,52.84,66.25,0.81,3.15,0.19
2017-05-30,"Drizzle in the evening.","rain",0.05,"rain",53.09,57.04,0.86,5.07,0.5
2017-05-31,"Light rain overnight.","rain",0.87,"rain",53.02,70.5,0.75,4.42,0.43
2017-06-01,"Light rain in the morning.","rain",0.62,"rain",57.7,64.12,0.81,7.09,0.32
2017-06-02,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,55.69,69.44,0.69,2.49,0.24
2017-06-03,"Partly cloudy starting in the afternoon, continuing until evening.","partly-cloudy-day",0,NA,55.27,62.04,0.69,2.6,0.29
2017-06-04,"Partly cloudy until afternoon.","partly-cloudy-day",0,NA,53.48,62.01,0.66,1.61,0.29
